95.164.159.93 - - [07/Apr/2024:02:29:18 +0000] "GET /static/core/images/de_figma.png HTTP/1.1" 200 5289 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36" "95.164.159.93" response-time=0.006
193.34.74.105 - - [07/Apr/2024:02:29:19 +0000] "GET /static/core/images/se_figma.png HTTP/1.1" 200 5363 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36" "193.34.74.105" response-time=0.003
191.102.155.93 - - [07/Apr/2024:02:29:21 +0000] "GET /static/core/images/parth.png HTTP/1.1" 200 325649 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36" "191.102.155.93" response-time=0.010
191.102.179.211 - - [07/Apr/2024:02:29:21 +0000] "GET /static/core/images/de_processing.png HTTP/1.1" 200 4868 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36" "191.102.179.211" response-time=0.003
191.102.179.42 - - [07/Apr/2024:02:29:21 +0000] "GET /static/core/images/de_storage.png HTTP/1.1" 200 4172 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36" "191.102.179.42" response-time=0.003
95.164.158.155 - - [07/Apr/2024:02:29:22 +0000] "GET /static/core/images/data_transformation.png HTTP/1.1" 200 6100 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 13_0_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36" "95.164.158.155" response-time=0.003
193.34.74.105 - - [07/Apr/2024:02:29:22 +0000] "GET /static/core/images/de_modeling.png HTTP/1.1" 200 4448 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36" "193.34.74.105" response-time=0.003
138.122.193.16 - - [07/Apr/2024:02:29:22 +0000] "GET /static/core/images/de_opt.png HTTP/1.1" 200 6844 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 13_0_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36" "138.122.193.16" response-time=0.003
45.139.36.229 - - [07/Apr/2024:02:29:23 +0000] "GET /static/core/images/data_maintenance.png HTTP/1.1" 200 3460 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36" "45.139.36.229" response-time=0.002
209.127.252.13 - - [07/Apr/2024:02:30:17 +0000] "GET / HTTP/1.1" 200 3144 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36" "209.127.252.13" response-time=0.002
99.250.177.58 - - [07/Apr/2024:02:30:57 +0000] "GET /static/core/css/styles.css HTTP/1.1" 304 0 "https://www.parth-dataexpert.com/?fbclid=PAAaYYgQndC6StIDqUyWqAj4ba79qtsxrR-XMc-KK536-NprpYPWKS--z-tLw_aem_AYtuucGKwSIAcikA7KEE5vvzemhCzHsBpuOCCdaut54tHsO-LKs02WsKtXogjWhxZNg" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21E236 Instagram 325.0.3.34.90 (iPhone14,7; iOS 17_4_1; en_CA; en; scale=3.00; 1170x2532; 584303227)" "99.250.177.58" response-time=0.004
99.250.177.58 - - [07/Apr/2024:02:30:57 +0000] "GET /static/core/images/se_figma.png HTTP/1.1" 304 0 "https://www.parth-dataexpert.com/?fbclid=PAAaYYgQndC6StIDqUyWqAj4ba79qtsxrR-XMc-KK536-NprpYPWKS--z-tLw_aem_AYtuucGKwSIAcikA7KEE5vvzemhCzHsBpuOCCdaut54tHsO-LKs02WsKtXogjWhxZNg" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21E236 Instagram 325.0.3.34.90 (iPhone14,7; iOS 17_4_1; en_CA; en; scale=3.00; 1170x2532; 584303227)" "99.250.177.58" response-time=0.002
99.250.177.58 - - [07/Apr/2024:02:30:57 +0000] "GET /static/core/images/de_processing.png HTTP/1.1" 304 0 "https://www.parth-dataexpert.com/?fbclid=PAAaYYgQndC6StIDqUyWqAj4ba79qtsxrR-XMc-KK536-NprpYPWKS--z-tLw_aem_AYtuucGKwSIAcikA7KEE5vvzemhCzHsBpuOCCdaut54tHsO-LKs02WsKtXogjWhxZNg" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21E236 Instagram 325.0.3.34.90 (iPhone14,7; iOS 17_4_1; en_CA; en; scale=3.00; 1170x2532; 584303227)" "99.250.177.58" response-time=0.003
99.250.177.58 - - [07/Apr/2024:02:30:57 +0000] "GET /static/core/images/de_modeling.png HTTP/1.1" 304 0 "https://www.parth-dataexpert.com/?fbclid=PAAaYYgQndC6StIDqUyWqAj4ba79qtsxrR-XMc-KK536-NprpYPWKS--z-tLw_aem_AYtuucGKwSIAcikA7KEE5vvzemhCzHsBpuOCCdaut54tHsO-LKs02WsKtXogjWhxZNg" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21E236 Instagram 325.0.3.34.90 (iPhone14,7; iOS 17_4_1; en_CA; en; scale=3.00; 1170x2532; 584303227)" "99.250.177.58" response-time=0.002
